sample_id,original_class,mapped_class,mapped_label,prediction,prediction_label,confidence,correct
40,3,3,Bearing,3,Bearing,0.7574993371963501,True
41,3,3,Bearing,3,Bearing,0.9916291236877441,True
42,3,3,Bearing,2,Misalignment,0.9948771595954895,False
43,3,3,Bearing,3,Bearing,0.999848484992981,True
44,3,3,Bearing,3,Bearing,0.9911937117576599,True
45,3,3,Bearing,2,Misalignment,0.7229343056678772,False
46,3,3,Bearing,3,Bearing,0.9987460374832153,True
47,3,3,Bearing,3,Bearing,0.5244447588920593,True
48,3,3,Bearing,3,Bearing,0.9999517202377319,True
49,3,3,Bearing,3,Bearing,0.9997289776802063,True
50,3,3,Bearing,3,Bearing,0.9822966456413269,True
51,3,3,Bearing,2,Misalignment,0.9369961619377136,False
52,3,3,Bearing,2,Misalignment,0.500436007976532,False
53,3,3,Bearing,3,Bearing,0.547337532043457,True
54,3,3,Bearing,3,Bearing,0.9971016049385071,True
55,3,3,Bearing,3,Bearing,0.6025171875953674,True
56,3,3,Bearing,2,Misalignment,0.7967857122421265,False
57,3,3,Bearing,3,Bearing,0.9973579049110413,True
58,3,3,Bearing,3,Bearing,0.9358028769493103,True
59,4,3,Bearing,2,Misalignment,0.6970899105072021,False
60,4,3,Bearing,2,Misalignment,0.7102618217468262,False
61,4,3,Bearing,3,Bearing,0.8868175745010376,True
62,4,3,Bearing,3,Bearing,0.9942731261253357,True
63,4,3,Bearing,3,Bearing,0.9993956089019775,True
64,4,3,Bearing,3,Bearing,0.7750798463821411,True
65,4,3,Bearing,3,Bearing,0.9991338849067688,True
66,4,3,Bearing,2,Misalignment,0.5672783255577087,False
67,4,3,Bearing,2,Misalignment,0.6999244689941406,False
68,4,3,Bearing,2,Misalignment,0.6280543804168701,False
69,4,3,Bearing,2,Misalignment,0.9051557779312134,False
70,4,3,Bearing,3,Bearing,0.9999547004699707,True
71,4,3,Bearing,3,Bearing,0.9999067783355713,True
72,4,3,Bearing,2,Misalignment,0.5825821161270142,False
73,4,3,Bearing,3,Bearing,0.9992659687995911,True
74,4,3,Bearing,3,Bearing,0.999544084072113,True
75,4,3,Bearing,3,Bearing,0.7888021469116211,True
76,4,3,Bearing,3,Bearing,0.6243363618850708,True
77,4,3,Bearing,3,Bearing,0.8639445900917053,True
78,4,3,Bearing,3,Bearing,0.7534456849098206,True
79,5,3,Bearing,3,Bearing,0.955309271812439,True
80,5,3,Bearing,2,Misalignment,0.8679615259170532,False
81,5,3,Bearing,3,Bearing,0.6030298471450806,True
82,5,3,Bearing,3,Bearing,0.9700484871864319,True
83,5,3,Bearing,3,Bearing,0.9999604225158691,True
84,5,3,Bearing,3,Bearing,0.6427412629127502,True
85,5,3,Bearing,3,Bearing,0.574324905872345,True
86,5,3,Bearing,2,Misalignment,0.6068955063819885,False
87,5,3,Bearing,3,Bearing,0.9213526248931885,True
88,5,3,Bearing,3,Bearing,0.9997262358665466,True
89,5,3,Bearing,3,Bearing,0.7834973335266113,True
90,5,3,Bearing,2,Misalignment,0.8524512648582458,False
91,5,3,Bearing,2,Misalignment,0.9819414615631104,False
92,5,3,Bearing,3,Bearing,0.7062867879867554,True
93,5,3,Bearing,3,Bearing,0.6232578158378601,True
94,5,3,Bearing,2,Misalignment,0.5559380054473877,False
95,5,3,Bearing,2,Misalignment,0.757827877998352,False
96,5,3,Bearing,2,Misalignment,0.8238034844398499,False
97,5,3,Bearing,2,Misalignment,0.9610823392868042,False
98,5,3,Bearing,3,Bearing,0.7379828095436096,True
99,6,3,Bearing,2,Misalignment,0.8932058811187744,False
100,6,3,Bearing,2,Misalignment,0.5720954537391663,False
101,6,3,Bearing,2,Misalignment,0.8756897449493408,False
102,6,3,Bearing,2,Misalignment,0.9468392729759216,False
103,6,3,Bearing,2,Misalignment,0.9642523527145386,False
104,6,3,Bearing,2,Misalignment,0.8238474130630493,False
105,6,3,Bearing,1,Imbalance,0.7144466638565063,False
106,6,3,Bearing,2,Misalignment,0.8755297660827637,False
107,6,3,Bearing,2,Misalignment,0.5683871507644653,False
108,6,3,Bearing,2,Misalignment,0.786538302898407,False
109,6,3,Bearing,2,Misalignment,0.7593434453010559,False
110,6,3,Bearing,2,Misalignment,0.8496648669242859,False
111,6,3,Bearing,3,Bearing,0.8284689784049988,True
112,6,3,Bearing,3,Bearing,0.9940341114997864,True
113,6,3,Bearing,2,Misalignment,0.9650943875312805,False
114,6,3,Bearing,2,Misalignment,0.7136697173118591,False
115,6,3,Bearing,2,Misalignment,0.9967849254608154,False
116,6,3,Bearing,2,Misalignment,0.7855483889579773,False
117,6,3,Bearing,2,Misalignment,0.9522472620010376,False
118,7,3,Bearing,3,Bearing,0.9741465449333191,True
119,7,3,Bearing,2,Misalignment,0.9838255047798157,False
120,7,3,Bearing,3,Bearing,0.9976096153259277,True
121,7,3,Bearing,3,Bearing,0.7004058361053467,True
122,7,3,Bearing,3,Bearing,0.8451611399650574,True
123,7,3,Bearing,3,Bearing,0.7116678357124329,True
124,7,3,Bearing,2,Misalignment,0.6496317982673645,False
125,7,3,Bearing,3,Bearing,0.9679229855537415,True
126,7,3,Bearing,2,Misalignment,0.6878253221511841,False
127,7,3,Bearing,3,Bearing,0.8642757534980774,True
128,7,3,Bearing,3,Bearing,0.99978107213974,True
129,7,3,Bearing,2,Misalignment,0.919486403465271,False
130,7,3,Bearing,2,Misalignment,0.9507272839546204,False
131,7,3,Bearing,3,Bearing,0.9630581140518188,True
132,7,3,Bearing,2,Misalignment,0.947953999042511,False
133,7,3,Bearing,3,Bearing,0.654076874256134,True
134,7,3,Bearing,2,Misalignment,0.649090588092804,False
135,7,3,Bearing,2,Misalignment,0.7700566053390503,False
136,7,3,Bearing,3,Bearing,0.7633582353591919,True
137,7,3,Bearing,2,Misalignment,0.9982420206069946,False
138,8,3,Bearing,2,Misalignment,0.9517245888710022,False
139,8,3,Bearing,2,Misalignment,0.913345992565155,False
140,8,3,Bearing,2,Misalignment,0.9882583022117615,False
141,8,3,Bearing,2,Misalignment,0.9541980624198914,False
142,8,3,Bearing,2,Misalignment,0.7797561287879944,False
143,8,3,Bearing,2,Misalignment,0.518602192401886,False
144,8,3,Bearing,1,Imbalance,0.7458277344703674,False
145,8,3,Bearing,3,Bearing,0.5193066596984863,True
146,8,3,Bearing,3,Bearing,0.9742213487625122,True
147,8,3,Bearing,1,Imbalance,0.9298771023750305,False
148,8,3,Bearing,2,Misalignment,0.991030216217041,False
149,8,3,Bearing,3,Bearing,0.9979185461997986,True
150,8,3,Bearing,3,Bearing,0.9988142251968384,True
151,8,3,Bearing,2,Misalignment,0.7985446453094482,False
152,8,3,Bearing,3,Bearing,0.9967485666275024,True
153,8,3,Bearing,2,Misalignment,0.8247340321540833,False
154,8,3,Bearing,2,Misalignment,0.9974800944328308,False
155,8,3,Bearing,2,Misalignment,0.6119289398193359,False
156,8,3,Bearing,2,Misalignment,0.9909345507621765,False
157,8,3,Bearing,2,Misalignment,0.7244287133216858,False
158,9,1,Imbalance,1,Imbalance,0.9642981290817261,True
159,9,1,Imbalance,1,Imbalance,0.8122566342353821,True
160,9,1,Imbalance,1,Imbalance,0.5619533658027649,True
161,9,1,Imbalance,2,Misalignment,0.5575356483459473,False
162,9,1,Imbalance,2,Misalignment,0.5554117560386658,False
163,9,1,Imbalance,1,Imbalance,0.881679356098175,True
164,9,1,Imbalance,1,Imbalance,0.978297233581543,True
165,9,1,Imbalance,3,Bearing,0.5924295783042908,False
166,9,1,Imbalance,3,Bearing,0.5922737121582031,False
167,9,1,Imbalance,3,Bearing,0.9734753966331482,False
168,9,1,Imbalance,3,Bearing,0.9985308647155762,False
169,9,1,Imbalance,1,Imbalance,0.9875872731208801,True
170,9,1,Imbalance,3,Bearing,0.9283180832862854,False
171,9,1,Imbalance,3,Bearing,0.8545978665351868,False
172,9,1,Imbalance,3,Bearing,0.9757453799247742,False
173,9,1,Imbalance,3,Bearing,0.40632927417755127,False
174,9,1,Imbalance,3,Bearing,0.7178182005882263,False
175,9,1,Imbalance,3,Bearing,0.6651930212974548,False
176,9,1,Imbalance,3,Bearing,0.7359969019889832,False
177,9,1,Imbalance,3,Bearing,0.9534188508987427,False
