sample_id,original_class,mapped_class,prediction,confidence,uncertainty,is_confident
130,7,3,3,0.9104689,0.3745608,True
131,7,3,3,0.87853575,0.44055253,False
132,7,3,3,0.9319404,0.3014503,True
133,7,3,3,0.9312158,0.30648544,True
134,7,3,3,0.9349286,0.2898965,True
135,7,3,3,0.9402108,0.27199766,True
136,7,3,3,0.90789443,0.38361436,True
137,7,3,3,0.9217178,0.33460298,True
138,8,3,3,0.8996367,0.4124598,True
139,8,3,3,0.87505424,0.46843335,False
140,8,3,3,0.88050854,0.43456358,False
141,8,3,3,0.92723167,0.3191885,True
142,8,3,3,0.8840765,0.4419691,False
143,8,3,3,0.91468465,0.36388445,True
144,8,3,3,0.82154524,0.56890357,False
145,8,3,3,0.89830524,0.40739438,True
146,8,3,3,0.9243383,0.3248854,True
147,8,3,3,0.87560624,0.4741127,False
148,8,3,3,0.88134855,0.4541624,False
149,8,3,3,0.90167284,0.39891383,True
150,8,3,3,0.8941806,0.40595844,True
151,8,3,3,0.9148416,0.36008993,True
152,8,3,3,0.916551,0.35149455,True
153,8,3,3,0.841021,0.56888,False
154,8,3,3,0.8919588,0.423464,True
155,8,3,3,0.90743667,0.3763124,True
156,8,3,3,0.8361088,0.56553185,False
157,8,3,3,0.867601,0.4857774,False
158,9,1,3,0.8711828,0.49011752,False
159,9,1,3,0.9381451,0.27384445,True
160,9,1,3,0.8637827,0.49566463,False
161,9,1,3,0.91988474,0.3367412,True
162,9,1,3,0.880179,0.4647661,False
163,9,1,3,0.9223537,0.33288765,True
164,9,1,3,0.9261292,0.32309905,True
165,9,1,3,0.8975765,0.4129665,True
166,9,1,3,0.8775073,0.45267648,False
167,9,1,3,0.9332345,0.30096444,True
168,9,1,3,0.8896747,0.4336028,False
169,9,1,3,0.90402216,0.37434313,True
170,9,1,3,0.89367497,0.40821952,True
171,9,1,3,0.88108915,0.46597067,False
172,9,1,3,0.9147378,0.35217667,True
173,9,1,3,0.903462,0.39434272,True
174,9,1,3,0.8871142,0.43590453,False
175,9,1,3,0.87621963,0.4716604,False
176,9,1,3,0.91547483,0.35822037,True
177,9,1,3,0.8960484,0.4195022,True
