Filename,Source_Folder,Predicted_Class,Confidence,Est_RPM,Status
F11.mat,Faulty,Normal,0.9997,2988.3,OK
F110.mat,Faulty,Normal,0.9993,2988.3,OK
F111.mat,Faulty,Normal,0.9991,2988.3,OK
F112.mat,Faulty,Normal,0.9992,2988.3,OK
F113.mat,Faulty,Normal,0.9995,2988.3,OK
F114.mat,Faulty,Normal,0.9994,2988.3,OK
F115.mat,Faulty,Normal,0.9997,2988.3,OK
F116.mat,Faulty,Normal,0.9990,2988.3,OK
F117.mat,Faulty,Normal,0.9988,2988.3,OK
F12.mat,Faulty,Normal,0.9995,2988.3,OK
F13.mat,Faulty,Normal,0.9990,2988.3,OK
F14.mat,Faulty,Normal,0.9984,2988.3,OK
F15.mat,Faulty,Normal,0.9990,2988.3,OK
F16.mat,Faulty,Normal,0.9987,2988.3,OK
F17.mat,Faulty,Normal,0.9992,2988.3,OK
F18.mat,Faulty,Normal,0.9992,2988.3,OK
F19.mat,Faulty,Normal,0.9991,2988.3,OK
F2.mat,Faulty,Normal,0.9990,2988.3,OK
F20.mat,Faulty,Normal,0.9990,2988.3,OK
F21.mat,Faulty,Normal,0.9990,2988.3,OK
F22.mat,Faulty,Normal,0.9997,2988.3,OK
F23.mat,Faulty,Normal,0.9993,2988.3,OK
F24.mat,Faulty,Normal,0.9990,2988.3,OK
F25.mat,Faulty,Normal,0.9985,2988.3,OK
F26.mat,Faulty,Normal,0.9990,2988.3,OK
F27.mat,Faulty,Normal,0.9996,2988.3,OK
F28.mat,Faulty,Normal,0.9993,2988.3,OK
F29.mat,Faulty,Normal,0.9993,2988.3,OK
F3.mat,Faulty,Normal,0.9992,2988.3,OK
F30.mat,Faulty,Normal,0.9997,2988.3,OK
F31.mat,Faulty,Normal,0.9994,2988.3,OK
F32.mat,Faulty,Normal,0.9991,2988.3,OK
F33.mat,Faulty,Normal,0.9991,2988.3,OK
F34.mat,Faulty,Normal,0.9992,2988.3,OK
F35.mat,Faulty,Normal,0.9957,2988.3,OK
F36.mat,Faulty,Normal,0.9995,2988.3,OK
F37.mat,Faulty,Normal,0.9984,2988.3,OK
F38.mat,Faulty,Normal,0.9995,2988.3,OK
F39.mat,Faulty,Normal,0.9991,2988.3,OK
F4.mat,Faulty,Normal,0.9995,2988.3,OK
F40.mat,Faulty,Normal,0.9996,2988.3,OK
F41.mat,Faulty,Normal,0.9975,2988.3,OK
F42.mat,Faulty,Normal,0.9990,2988.3,OK
F43.mat,Faulty,Normal,0.9992,2988.3,OK
F44.mat,Faulty,Normal,0.9987,2988.3,OK
F45.mat,Faulty,Normal,0.9985,2988.3,OK
F46.mat,Faulty,Normal,0.9990,2988.3,OK
F47.mat,Faulty,Normal,0.9994,2988.3,OK
F48.mat,Faulty,Normal,0.9993,2988.3,OK
F49.mat,Faulty,Normal,0.9988,2988.3,OK
F5.mat,Faulty,Normal,0.9993,2988.3,OK
F50.mat,Faulty,Normal,0.9988,2988.3,OK
F51.mat,Faulty,Normal,0.9983,2988.3,OK
F52.mat,Faulty,Normal,0.9978,2988.3,OK
F53.mat,Faulty,Normal,0.9980,2988.3,OK
F54.mat,Faulty,Normal,0.9991,2988.3,OK
F55.mat,Faulty,Normal,0.9992,2988.3,OK
F56.mat,Faulty,Normal,0.9987,2988.3,OK
F57.mat,Faulty,Normal,0.9996,2988.3,OK
F58.mat,Faulty,Normal,0.9992,2988.3,OK
F59.mat,Faulty,Normal,0.9970,2988.3,OK
F6.mat,Faulty,Normal,0.9985,2988.3,OK
F60.mat,Faulty,Normal,0.9993,2988.3,OK
F61.mat,Faulty,Normal,0.9991,2988.3,OK
F62.mat,Faulty,Normal,0.9992,2988.3,OK
F63.mat,Faulty,Normal,0.9995,2988.3,OK
F64.mat,Faulty,Normal,0.9997,2988.3,OK
F65.mat,Faulty,Normal,0.9997,2988.3,OK
F66.mat,Faulty,Normal,0.9990,2988.3,OK
F67.mat,Faulty,Normal,0.9988,2988.3,OK
F68.mat,Faulty,Normal,0.9951,2988.3,OK
F69.mat,Faulty,Normal,0.9994,2988.3,OK
F7.mat,Faulty,Normal,0.9992,2988.3,OK
F70.mat,Faulty,Normal,0.9997,2988.3,OK
F71.mat,Faulty,Normal,0.9992,2988.3,OK
F72.mat,Faulty,Normal,0.9997,2988.3,OK
F73.mat,Faulty,Normal,0.9989,2988.3,OK
F74.mat,Faulty,Normal,0.9991,2988.3,OK
F75.mat,Faulty,Normal,0.9995,2988.3,OK
F76.mat,Faulty,Normal,0.9979,2988.3,OK
F77.mat,Faulty,Normal,0.9963,2988.3,OK
F78.mat,Faulty,Normal,0.9996,2988.3,OK
F79.mat,Faulty,Normal,0.9982,2988.3,OK
F8.mat,Faulty,Normal,0.9990,2988.3,OK
F80.mat,Faulty,Normal,0.9989,2988.3,OK
F81.mat,Faulty,Normal,0.9989,2988.3,OK
F82.mat,Faulty,Normal,0.9992,2988.3,OK
F83.mat,Faulty,Normal,0.9991,2988.3,OK
F84.mat,Faulty,Normal,0.9992,2988.3,OK
F85.mat,Faulty,Normal,0.9995,2988.3,OK
F86.mat,Faulty,Normal,0.9991,2988.3,OK
F87.mat,Faulty,Normal,0.9990,2988.3,OK
F88.mat,Faulty,Normal,0.9994,2988.3,OK
F89.mat,Faulty,Normal,0.9992,2988.3,OK
F9.mat,Faulty,Normal,0.9990,2988.3,OK
F90.mat,Faulty,Normal,0.9994,2988.3,OK
F91.mat,Faulty,Normal,0.9996,2988.3,OK
F92.mat,Faulty,Normal,0.9991,2988.3,OK
F93.mat,Faulty,Normal,0.9997,2988.3,OK
F94.mat,Faulty,Normal,0.9994,2988.3,OK
F95.mat,Faulty,Normal,0.9995,2988.3,OK
F96.mat,Faulty,Normal,0.9991,2988.3,OK
F97.mat,Faulty,Normal,0.9991,2988.3,OK
F98.mat,Faulty,Normal,0.9993,2988.3,OK
F99.mat,Faulty,Normal,0.9998,2988.3,OK
