Sample_ID,Original_Class,GT_Physics,Pred_Class,Confidence,Signal_Duration_sec,Sufficient_Signal,Min_Duration_Required,RPM,Correct,Notes
38,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
39,2,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
40,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
41,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
42,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
43,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
44,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
45,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
46,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
47,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
48,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
49,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
50,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
51,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
52,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
53,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
54,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
55,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
56,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
57,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
58,3,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
59,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
60,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
61,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
62,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
63,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
64,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
65,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
66,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
67,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
68,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
69,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
70,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
71,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
72,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
73,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
74,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
75,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
76,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
77,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
78,4,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
79,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
80,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
81,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
82,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
83,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
84,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
85,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
86,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
87,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
88,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
89,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
90,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
91,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
92,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
93,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
94,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
95,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
96,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
97,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
98,5,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
99,6,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
100,6,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
101,6,Bearing,Bearing,0.9938,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
102,6,Bearing,Bearing,0.9993,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
103,6,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
104,6,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
105,6,Bearing,Bearing,0.9907,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
106,6,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
107,6,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
108,6,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
109,6,Bearing,Bearing,0.9999,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
110,6,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
111,6,Bearing,Bearing,0.9996,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
112,6,Bearing,Misalignment,0.6602,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
113,6,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
114,6,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
115,6,Bearing,Bearing,0.9923,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
116,6,Bearing,Bearing,0.9995,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
117,6,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
118,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
119,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
120,7,Bearing,Bearing,0.7335,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
121,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
122,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
123,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
124,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
125,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
126,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
127,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
128,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
129,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
130,7,Bearing,Misalignment,0.5375,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
131,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
132,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
133,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
134,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
135,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
136,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
137,7,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
138,8,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
139,8,Bearing,Bearing,0.8707,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
140,8,Bearing,Bearing,0.9997,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
141,8,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
142,8,Bearing,Bearing,0.8610,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
143,8,Bearing,Bearing,0.9951,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
144,8,Bearing,Bearing,0.9325,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
145,8,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
146,8,Bearing,Bearing,0.9992,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
147,8,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
148,8,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
149,8,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
150,8,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
151,8,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
152,8,Bearing,Misalignment,0.7537,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
153,8,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
154,8,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
155,8,Bearing,Bearing,0.9963,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
156,8,Bearing,Bearing,0.9995,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
157,8,Bearing,Bearing,1.0000,0.200,No,0.474,1900,Yes,Correct bearing detection | WARNING: Signal too short (0.200s < 0.474s required)
158,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
159,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
160,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
161,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
162,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
163,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
164,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
165,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
166,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
167,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
168,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
169,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
170,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
171,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
172,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
173,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
174,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
175,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
176,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
177,9,Imbalance,Bearing,1.0000,0.200,No,0.474,1900,No,Mismatch - likely due to short signal duration | WARNING: Signal too short (0.200s < 0.474s required)
