sample_id,original_class,mapped_class,prediction,confidence,uncertainty,rejected
101,6,3,3,0.8171006,0.5982575,True
102,6,3,3,0.7710478,0.70585364,True
103,6,3,3,0.835004,0.57092226,True
104,6,3,3,0.80183965,0.6194167,True
105,6,3,3,0.8039611,0.63935363,True
106,6,3,3,0.8806216,0.4519326,False
107,6,3,3,0.77095366,0.71388716,True
108,6,3,3,0.83240277,0.5879753,True
109,6,3,3,0.82069695,0.5799732,True
110,6,3,3,0.87574226,0.46655607,False
111,6,3,3,0.8855426,0.43877906,False
112,6,3,3,0.87085235,0.48031893,False
113,6,3,3,0.8165518,0.6266136,True
114,6,3,3,0.86377937,0.5102662,False
115,6,3,3,0.8111502,0.63907474,True
116,6,3,3,0.9004736,0.40295458,False
117,6,3,3,0.84749335,0.5216211,False
118,7,3,3,0.86420095,0.47295135,False
119,7,3,3,0.9419359,0.27023953,False
120,7,3,3,0.9085741,0.3790361,False
121,7,3,3,0.8112777,0.6285404,True
122,7,3,3,0.8605532,0.495231,False
123,7,3,3,0.8710098,0.47442892,False
124,7,3,3,0.9101388,0.36413756,False
125,7,3,3,0.85176057,0.5213071,False
126,7,3,3,0.92273015,0.33269525,False
127,7,3,3,0.8996951,0.39646217,False
128,7,3,3,0.87432176,0.44125175,False
129,7,3,3,0.872595,0.4685292,False
130,7,3,3,0.91742957,0.35013404,False
131,7,3,3,0.9187072,0.32924077,False
132,7,3,3,0.9465173,0.24838588,False
133,7,3,3,0.86672515,0.48368007,False
134,7,3,3,0.8961873,0.40800038,False
135,7,3,3,0.8686743,0.48328304,False
136,7,3,3,0.89222956,0.42352578,False
137,7,3,3,0.88621205,0.4365086,False
138,8,3,3,0.8774246,0.46528944,False
139,8,3,3,0.7960232,0.6590189,True
140,8,3,3,0.76968294,0.72510725,True
141,8,3,3,0.8524974,0.53169566,False
142,8,3,3,0.87809575,0.4539577,False
143,8,3,3,0.8412635,0.55780023,False
144,8,3,3,0.8580596,0.5233534,False
145,8,3,3,0.82552284,0.58027786,True
146,8,3,3,0.87375456,0.46881384,False
147,8,3,3,0.8925792,0.42922243,False
148,8,3,3,0.8128217,0.57738274,True
149,8,3,3,0.83430904,0.57872206,True
150,8,3,3,0.84126663,0.54385287,False
151,8,3,3,0.83337635,0.56939775,True
152,8,3,3,0.83227366,0.5701681,True
153,8,3,3,0.92217934,0.3327182,False
154,8,3,3,0.86520344,0.50257105,False
155,8,3,3,0.79993635,0.63314766,True
156,8,3,3,0.842978,0.55821526,True
157,8,3,3,0.8371333,0.5683552,True
158,9,1,3,0.8623882,0.48419374,False
159,9,1,3,0.9074702,0.38494825,False
160,9,1,3,0.7618333,0.6912292,True
161,9,1,3,0.8631771,0.4909232,False
162,9,1,3,0.8925929,0.4028967,False
163,9,1,3,0.90058327,0.40454724,False
164,9,1,3,0.8844296,0.44097298,False
165,9,1,3,0.8019803,0.6255018,True
166,9,1,3,0.8195794,0.59631526,True
167,9,1,3,0.7879315,0.6482871,True
168,9,1,3,0.88620013,0.42362732,False
169,9,1,3,0.82524544,0.6011495,True
170,9,1,3,0.8857607,0.41921896,False
171,9,1,3,0.8756825,0.47712988,False
172,9,1,3,0.8810989,0.46255136,False
173,9,1,3,0.85091484,0.53358203,False
174,9,1,3,0.82910264,0.55580527,False
175,9,1,3,0.81642807,0.60657626,True
176,9,1,3,0.8698215,0.49120188,False
177,9,1,3,0.9174916,0.34246057,False
