sample_id,original_class,mapped_class,mapped_label,prediction,prediction_label,confidence,correct,rejected,estimated_rpm,rpm_confidence
37,2,3,Bearing,3,Bearing,0.9158449,True,False,1500.0,0.0
38,2,3,Bearing,3,Bearing,0.9996966,True,False,1500.0,0.0
39,2,3,Bearing,3,Bearing,0.9979115,True,False,1500.0,0.0
40,3,3,Bearing,3,Bearing,0.9716116,True,False,1500.0,0.0
41,3,3,Bearing,3,Bearing,0.99981016,True,False,1500.0,0.0
42,3,3,Bearing,3,Bearing,0.99587065,True,False,1500.0,0.0
43,3,3,Bearing,3,Bearing,0.99977595,True,False,1500.0,0.0
44,3,3,Bearing,3,Bearing,0.99795204,True,False,1500.0,0.0
45,3,3,Bearing,3,Bearing,0.9992403,True,False,1500.0,0.0
46,3,3,Bearing,3,Bearing,0.9959193,True,False,1500.0,0.0
47,3,3,Bearing,3,Bearing,0.99990034,True,False,1500.0,0.0
48,3,3,Bearing,3,Bearing,0.9769166,True,False,1500.0,0.0
49,3,3,Bearing,3,Bearing,0.9995952,True,False,1500.0,0.0
50,3,3,Bearing,3,Bearing,0.9960077,True,False,1500.0,0.0
51,3,3,Bearing,3,Bearing,0.99829155,True,False,1500.0,0.0
52,3,3,Bearing,3,Bearing,0.9980532,True,False,1500.0,0.0
53,3,3,Bearing,3,Bearing,0.9992422,True,False,1500.0,0.0
54,3,3,Bearing,3,Bearing,0.9942175,True,False,1500.0,0.0
55,3,3,Bearing,3,Bearing,0.99919766,True,False,1500.0,0.0
56,3,3,Bearing,3,Bearing,0.979494,True,False,1500.0,0.0
57,3,3,Bearing,3,Bearing,0.9999956,True,False,1500.0,0.0
58,3,3,Bearing,3,Bearing,0.99307173,True,False,1500.0,0.0
59,4,3,Bearing,3,Bearing,0.99992085,True,False,1500.0,0.0
60,4,3,Bearing,3,Bearing,0.99688584,True,False,1500.0,0.0
61,4,3,Bearing,3,Bearing,0.9960651,True,False,1500.0,0.0
62,4,3,Bearing,3,Bearing,0.99999666,True,False,1500.0,0.0
63,4,3,Bearing,3,Bearing,0.8693049,True,False,1500.0,0.0
64,4,3,Bearing,3,Bearing,0.999539,True,False,1500.0,0.0
65,4,3,Bearing,3,Bearing,0.99999714,True,False,1500.0,0.0
66,4,3,Bearing,3,Bearing,0.9997228,True,False,1500.0,0.0
67,4,3,Bearing,3,Bearing,0.4959274,True,True,1500.0,0.0
68,4,3,Bearing,3,Bearing,0.9989299,True,False,1500.0,0.0
69,4,3,Bearing,3,Bearing,0.99986625,True,False,1500.0,0.0
70,4,3,Bearing,3,Bearing,0.4383993,True,True,1500.0,0.0
71,4,3,Bearing,3,Bearing,0.9999589,True,False,1500.0,0.0
72,4,3,Bearing,3,Bearing,0.9812899,True,False,1500.0,0.0
73,4,3,Bearing,3,Bearing,0.9999651,True,False,1500.0,0.0
74,4,3,Bearing,3,Bearing,0.99926335,True,False,1500.0,0.0
75,4,3,Bearing,3,Bearing,0.99992454,True,False,1500.0,0.0
76,4,3,Bearing,3,Bearing,0.99991727,True,False,1500.0,0.0
77,4,3,Bearing,3,Bearing,0.99998903,True,False,1500.0,0.0
78,4,3,Bearing,3,Bearing,0.99904495,True,False,1500.0,0.0
79,5,3,Bearing,3,Bearing,0.95738715,True,False,1500.0,0.0
80,5,3,Bearing,3,Bearing,0.9939466,True,False,1500.0,0.0
81,5,3,Bearing,3,Bearing,0.97871727,True,False,1500.0,0.0
82,5,3,Bearing,3,Bearing,0.99861944,True,False,1500.0,0.0
83,5,3,Bearing,3,Bearing,0.8897779,True,False,1500.0,0.0
84,5,3,Bearing,3,Bearing,0.7509151,True,False,1500.0,0.0
85,5,3,Bearing,3,Bearing,0.9996056,True,False,1500.0,0.0
86,5,3,Bearing,3,Bearing,0.98319983,True,False,1500.0,0.0
87,5,3,Bearing,3,Bearing,0.9998784,True,False,1500.0,0.0
88,5,3,Bearing,3,Bearing,0.9894343,True,False,1500.0,0.0
89,5,3,Bearing,3,Bearing,0.997474,True,False,1500.0,0.0
90,5,3,Bearing,3,Bearing,0.8896541,True,False,1500.0,0.0
91,5,3,Bearing,3,Bearing,0.99999964,True,False,1500.0,0.0
92,5,3,Bearing,3,Bearing,0.99812037,True,False,1500.0,0.0
93,5,3,Bearing,3,Bearing,0.99995685,True,False,1500.0,0.0
94,5,3,Bearing,3,Bearing,0.9998398,True,False,1500.0,0.0
95,5,3,Bearing,3,Bearing,0.99991024,True,False,1500.0,0.0
96,5,3,Bearing,3,Bearing,0.9974376,True,False,1500.0,0.0
97,5,3,Bearing,3,Bearing,0.99998975,True,False,1500.0,0.0
98,5,3,Bearing,3,Bearing,0.9811779,True,False,1500.0,0.0
99,6,3,Bearing,3,Bearing,0.6987839,True,True,1500.0,0.0
100,6,3,Bearing,3,Bearing,0.69825,True,True,1500.0,0.0
101,6,3,Bearing,3,Bearing,0.99507564,True,False,1500.0,0.0
102,6,3,Bearing,1,Imbalance,0.57264376,False,True,1500.0,0.0
103,6,3,Bearing,3,Bearing,0.6742993,True,True,1500.0,0.0
104,6,3,Bearing,3,Bearing,0.5077929,True,True,1500.0,0.0
105,6,3,Bearing,3,Bearing,0.91289353,True,False,1500.0,0.0
106,6,3,Bearing,2,Misalignment,0.8524903,False,False,1500.0,0.0
107,6,3,Bearing,3,Bearing,0.99744725,True,False,1500.0,0.0
108,6,3,Bearing,3,Bearing,0.9967886,True,False,1500.0,0.0
109,6,3,Bearing,2,Misalignment,0.92937857,False,False,1500.0,0.0
110,6,3,Bearing,3,Bearing,0.8296623,True,False,1500.0,0.0
111,6,3,Bearing,3,Bearing,0.9377248,True,False,1500.0,0.0
112,6,3,Bearing,3,Bearing,0.85490656,True,False,1500.0,0.0
113,6,3,Bearing,3,Bearing,0.7593641,True,False,1500.0,0.0
114,6,3,Bearing,2,Misalignment,0.9277265,False,False,1500.0,0.0
115,6,3,Bearing,1,Imbalance,0.45860302,False,True,1500.0,0.0
116,6,3,Bearing,3,Bearing,0.6624401,True,True,1500.0,0.0
117,6,3,Bearing,2,Misalignment,0.91188085,False,False,1500.0,0.0
118,7,3,Bearing,3,Bearing,0.9994204,True,False,1500.0,0.0
119,7,3,Bearing,3,Bearing,0.83227664,True,False,1500.0,0.0
120,7,3,Bearing,3,Bearing,0.998041,True,False,1500.0,0.0
121,7,3,Bearing,3,Bearing,0.9993561,True,False,1500.0,0.0
122,7,3,Bearing,3,Bearing,0.9967734,True,False,1500.0,0.0
123,7,3,Bearing,3,Bearing,0.99986327,True,False,1500.0,0.0
124,7,3,Bearing,3,Bearing,0.9957866,True,False,1500.0,0.0
125,7,3,Bearing,3,Bearing,0.99998677,True,False,1500.0,0.0
126,7,3,Bearing,3,Bearing,0.99934906,True,False,1500.0,0.0
127,7,3,Bearing,3,Bearing,0.9997973,True,False,1500.0,0.0
128,7,3,Bearing,3,Bearing,0.99728656,True,False,1500.0,0.0
129,7,3,Bearing,3,Bearing,0.9969873,True,False,1500.0,0.0
130,7,3,Bearing,3,Bearing,0.9999646,True,False,1500.0,0.0
131,7,3,Bearing,3,Bearing,0.9994648,True,False,1500.0,0.0
132,7,3,Bearing,3,Bearing,0.6486475,True,True,1500.0,0.0
133,7,3,Bearing,3,Bearing,0.9997274,True,False,1500.0,0.0
134,7,3,Bearing,3,Bearing,0.9999895,True,False,1500.0,0.0
135,7,3,Bearing,3,Bearing,0.9986745,True,False,1500.0,0.0
136,7,3,Bearing,3,Bearing,0.9927167,True,False,1500.0,0.0
137,7,3,Bearing,3,Bearing,0.9999877,True,False,1500.0,0.0
138,8,3,Bearing,2,Misalignment,0.82768303,False,False,1500.0,0.0
139,8,3,Bearing,2,Misalignment,0.795417,False,False,1500.0,0.0
140,8,3,Bearing,3,Bearing,0.8416811,True,False,1500.0,0.0
141,8,3,Bearing,3,Bearing,0.9931722,True,False,1500.0,0.0
142,8,3,Bearing,2,Misalignment,0.8689487,False,False,1500.0,0.0
143,8,3,Bearing,3,Bearing,0.7195491,True,True,1500.0,0.0
144,8,3,Bearing,2,Misalignment,0.80319554,False,False,1500.0,0.0
145,8,3,Bearing,2,Misalignment,0.5393254,False,True,1500.0,0.0
146,8,3,Bearing,2,Misalignment,0.8034882,False,False,1500.0,0.0
147,8,3,Bearing,3,Bearing,0.9941964,True,False,1500.0,0.0
148,8,3,Bearing,3,Bearing,0.9713567,True,False,1500.0,0.0
149,8,3,Bearing,3,Bearing,0.86826754,True,False,1500.0,0.0
150,8,3,Bearing,3,Bearing,0.8367546,True,False,1500.0,0.0
151,8,3,Bearing,3,Bearing,0.66050124,True,True,1500.0,0.0
152,8,3,Bearing,2,Misalignment,0.99337846,False,False,1500.0,0.0
153,8,3,Bearing,2,Misalignment,0.9877293,False,False,1500.0,0.0
154,8,3,Bearing,3,Bearing,0.64051205,True,True,1500.0,0.0
155,8,3,Bearing,3,Bearing,0.8968467,True,False,1500.0,0.0
156,8,3,Bearing,3,Bearing,0.9954085,True,False,1500.0,0.0
157,8,3,Bearing,1,Imbalance,0.724509,False,True,1500.0,0.0
158,9,1,Imbalance,3,Bearing,0.9999975,False,False,1500.0,0.0
159,9,1,Imbalance,3,Bearing,0.9641756,False,False,1500.0,0.0
160,9,1,Imbalance,3,Bearing,0.9874587,False,False,1500.0,0.0
161,9,1,Imbalance,3,Bearing,0.9998698,False,False,1500.0,0.0
162,9,1,Imbalance,3,Bearing,0.9999858,False,False,1500.0,0.0
163,9,1,Imbalance,3,Bearing,0.92717034,False,False,1500.0,0.0
164,9,1,Imbalance,3,Bearing,0.9903606,False,False,1500.0,0.0
165,9,1,Imbalance,3,Bearing,0.9950429,False,False,1500.0,0.0
166,9,1,Imbalance,3,Bearing,0.9988852,False,False,1500.0,0.0
167,9,1,Imbalance,3,Bearing,0.974601,False,False,1500.0,0.0
168,9,1,Imbalance,3,Bearing,0.95395327,False,False,1500.0,0.0
169,9,1,Imbalance,3,Bearing,0.9967524,False,False,1500.0,0.0
170,9,1,Imbalance,3,Bearing,0.99998283,False,False,1500.0,0.0
171,9,1,Imbalance,3,Bearing,0.99997747,False,False,1500.0,0.0
172,9,1,Imbalance,3,Bearing,0.9985397,False,False,1500.0,0.0
173,9,1,Imbalance,3,Bearing,0.9999238,False,False,1500.0,0.0
174,9,1,Imbalance,3,Bearing,0.9997862,False,False,1500.0,0.0
175,9,1,Imbalance,3,Bearing,0.99985313,False,False,1500.0,0.0
176,9,1,Imbalance,3,Bearing,0.9999324,False,False,1500.0,0.0
177,9,1,Imbalance,3,Bearing,0.9552824,False,False,1500.0,0.0
