path,original_path,label
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\17.408_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\17.408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\17.408_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\17.408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\17.408_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\17.408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\17.408_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\17.408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\17.408_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\17.408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\17.408_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\17.408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\17.408_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\17.408.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\18.8416_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\18.8416.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\18.8416_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\18.8416.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\18.8416_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\18.8416.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\18.8416_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\18.8416.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\18.8416_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\18.8416.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\18.8416_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\18.8416.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\18.8416_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\18.8416.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\18.8416_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\18.8416.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\19.6608_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\19.6608.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\19.6608_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\19.6608.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\19.6608_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\19.6608.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\19.6608_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\19.6608.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\19.6608_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\19.6608.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\19.6608_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\19.6608.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\19.6608_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\19.6608.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\19.6608_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\19.6608.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\20.48_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\20.48.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\20.48_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\20.48.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\20.48_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\20.48.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\20.48_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\20.48.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\20.48_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\20.48.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\20.48_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\20.48.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\20.48_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\20.48.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\20.48_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\20.48.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\21.504_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\21.504.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\21.504_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\21.504.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\21.504_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\21.504.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\21.504_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\21.504.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\21.504_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\21.504.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\21.504_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\21.504.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\21.504_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\21.504.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\21.504_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\21.504.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\22.528_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\22.528.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\22.528_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\22.528.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\22.528_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\22.528.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\22.528_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\22.528.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\22.528_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\22.528.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\22.528_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\22.528.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\22.528_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\22.528.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\22.528_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\22.528.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\23.552_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\23.552.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\23.552_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\23.552.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\23.552_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\23.552.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\23.552_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\23.552.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\23.552_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\23.552.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\23.552_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\23.552.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\23.552_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\23.552.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\23.552_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\23.552.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.3712_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.3712.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.3712_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.3712.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.3712_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.3712.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.3712_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.3712.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.3712_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.3712.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.3712_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.3712.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.3712_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.3712.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.3712_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.3712.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.7808_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.7808.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.7808_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.7808.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.7808_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.7808.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.7808_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.7808.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.7808_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.7808.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.7808_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.7808.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.7808_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.7808.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\24.7808_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\24.7808.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\25.8048_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\25.8048.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\25.8048_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\25.8048.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\25.8048_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\25.8048.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\25.8048_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\25.8048.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\25.8048_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\25.8048.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\25.8048_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\25.8048.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\25.8048_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\25.8048.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\25.8048_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\25.8048.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\26.8288_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\26.8288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\26.8288_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\26.8288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\26.8288_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\26.8288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\26.8288_slice_3.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\26.8288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\26.8288_slice_4.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\26.8288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\26.8288_slice_5.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\26.8288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\26.8288_slice_6.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\26.8288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\26.8288_slice_7.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\26.8288.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\28.672_slice_0.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\28.672.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\28.672_slice_1.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\28.672.csv,2
4k_mafulda_structured_v3\horizontal-misalignment\0.5mm\28.672_slice_2.npz,C:\dev_work\personal\Ai-Driven-Vibrations-motor\data\raw_mafulda\horizontal-misalignment\0.5mm\28.672.csv,2
