sample_id,original_class,mapped_class,mapped_label,prediction,prediction_label,confidence,correct,rejected,estimated_rpm,rpm_confidence
52,3,3,Bearing,0,Normal,0.9876644015312195,False,False,1900.0,1.0
53,3,3,Bearing,0,Normal,0.9570878744125366,False,False,1900.0,1.0
54,3,3,Bearing,0,Normal,0.9903822541236877,False,False,1900.0,1.0
55,3,3,Bearing,0,Normal,0.8190560340881348,False,False,1900.0,1.0
56,3,3,Bearing,0,Normal,0.8985199928283691,False,False,1900.0,1.0
57,3,3,Bearing,0,Normal,0.9936324954032898,False,False,1900.0,1.0
58,3,3,Bearing,0,Normal,0.9830387830734253,False,False,1900.0,1.0
59,4,3,Bearing,0,Normal,0.9756795763969421,False,False,1900.0,1.0
60,4,3,Bearing,0,Normal,0.9727072715759277,False,False,1900.0,1.0
61,4,3,Bearing,0,Normal,0.9838343858718872,False,False,1900.0,1.0
62,4,3,Bearing,0,Normal,0.9803705215454102,False,False,1900.0,1.0
63,4,3,Bearing,0,Normal,0.9631526470184326,False,False,1900.0,1.0
64,4,3,Bearing,0,Normal,0.887010931968689,False,False,1900.0,1.0
65,4,3,Bearing,0,Normal,0.9868370294570923,False,False,1900.0,1.0
66,4,3,Bearing,0,Normal,0.8981232047080994,False,False,1900.0,1.0
67,4,3,Bearing,0,Normal,0.9169999957084656,False,False,1900.0,1.0
68,4,3,Bearing,0,Normal,0.9207181930541992,False,False,1900.0,1.0
69,4,3,Bearing,0,Normal,0.9760231971740723,False,False,1900.0,1.0
70,4,3,Bearing,0,Normal,0.9953804016113281,False,False,1900.0,1.0
71,4,3,Bearing,0,Normal,0.9981603026390076,False,False,1900.0,1.0
72,4,3,Bearing,0,Normal,0.9905361533164978,False,False,1900.0,1.0
73,4,3,Bearing,0,Normal,0.9729648232460022,False,False,1900.0,1.0
74,4,3,Bearing,0,Normal,0.9865117073059082,False,False,1900.0,1.0
75,4,3,Bearing,0,Normal,0.9673889875411987,False,False,1900.0,1.0
76,4,3,Bearing,0,Normal,0.974901020526886,False,False,1900.0,1.0
77,4,3,Bearing,0,Normal,0.9862444996833801,False,False,1900.0,1.0
78,4,3,Bearing,0,Normal,0.9850419163703918,False,False,1900.0,1.0
79,5,3,Bearing,0,Normal,0.9659087061882019,False,False,1900.0,1.0
80,5,3,Bearing,0,Normal,0.9940478801727295,False,False,1900.0,1.0
81,5,3,Bearing,0,Normal,0.981316328048706,False,False,1900.0,1.0
82,5,3,Bearing,0,Normal,0.9711688756942749,False,False,1900.0,1.0
83,5,3,Bearing,0,Normal,0.8249706029891968,False,False,1900.0,1.0
84,5,3,Bearing,0,Normal,0.9695696234703064,False,False,1900.0,1.0
85,5,3,Bearing,0,Normal,0.8905318379402161,False,False,1900.0,1.0
86,5,3,Bearing,0,Normal,0.9822738766670227,False,False,1900.0,1.0
87,5,3,Bearing,0,Normal,0.9671656489372253,False,False,1900.0,1.0
88,5,3,Bearing,0,Normal,0.9657229781150818,False,False,1900.0,1.0
89,5,3,Bearing,0,Normal,0.9899917244911194,False,False,1900.0,1.0
90,5,3,Bearing,0,Normal,0.8564577698707581,False,False,1900.0,1.0
91,5,3,Bearing,0,Normal,0.9925617575645447,False,False,1900.0,1.0
92,5,3,Bearing,0,Normal,0.9565122723579407,False,False,1900.0,1.0
93,5,3,Bearing,0,Normal,0.9522060751914978,False,False,1900.0,1.0
94,5,3,Bearing,0,Normal,0.8248249292373657,False,False,1900.0,1.0
95,5,3,Bearing,0,Normal,0.9676194190979004,False,False,1900.0,1.0
96,5,3,Bearing,0,Normal,0.9652210474014282,False,False,1900.0,1.0
97,5,3,Bearing,0,Normal,0.9376453757286072,False,False,1900.0,1.0
98,5,3,Bearing,0,Normal,0.9277543425559998,False,False,1900.0,1.0
99,6,3,Bearing,0,Normal,0.9875532388687134,False,False,1900.0,1.0
100,6,3,Bearing,0,Normal,0.9608882069587708,False,False,1900.0,1.0
101,6,3,Bearing,0,Normal,0.9661859273910522,False,False,1900.0,1.0
102,6,3,Bearing,0,Normal,0.9599209427833557,False,False,1900.0,1.0
103,6,3,Bearing,0,Normal,0.9786012172698975,False,False,1900.0,1.0
104,6,3,Bearing,0,Normal,0.9275681376457214,False,False,1900.0,1.0
105,6,3,Bearing,0,Normal,0.9572941660881042,False,False,1900.0,1.0
106,6,3,Bearing,0,Normal,0.9796661734580994,False,False,1900.0,1.0
107,6,3,Bearing,0,Normal,0.8705520033836365,False,False,1900.0,1.0
108,6,3,Bearing,0,Normal,0.9837778806686401,False,False,1900.0,1.0
109,6,3,Bearing,0,Normal,0.8561287522315979,False,False,1900.0,1.0
110,6,3,Bearing,0,Normal,0.9838166236877441,False,False,1900.0,1.0
111,6,3,Bearing,0,Normal,0.9779937267303467,False,False,1900.0,1.0
112,6,3,Bearing,0,Normal,0.7155214548110962,False,False,1900.0,1.0
113,6,3,Bearing,0,Normal,0.9193412065505981,False,False,1900.0,1.0
114,6,3,Bearing,0,Normal,0.9603084921836853,False,False,1900.0,1.0
115,6,3,Bearing,0,Normal,0.944661557674408,False,False,1900.0,1.0
116,6,3,Bearing,0,Normal,0.8888655304908752,False,False,1900.0,1.0
117,6,3,Bearing,0,Normal,0.8755032420158386,False,False,1900.0,1.0
118,7,3,Bearing,0,Normal,0.9865575432777405,False,False,1900.0,1.0
119,7,3,Bearing,0,Normal,0.9561473727226257,False,False,1900.0,1.0
120,7,3,Bearing,0,Normal,0.9833340048789978,False,False,1900.0,1.0
121,7,3,Bearing,0,Normal,0.9694510698318481,False,False,1900.0,1.0
122,7,3,Bearing,0,Normal,0.872749924659729,False,False,1900.0,1.0
123,7,3,Bearing,0,Normal,0.9500610828399658,False,False,1900.0,1.0
124,7,3,Bearing,0,Normal,0.9031599164009094,False,False,1900.0,1.0
125,7,3,Bearing,0,Normal,0.9556936025619507,False,False,1900.0,1.0
126,7,3,Bearing,0,Normal,0.9447979927062988,False,False,1900.0,1.0
127,7,3,Bearing,0,Normal,0.9902462959289551,False,False,1900.0,1.0
128,7,3,Bearing,0,Normal,0.9968433380126953,False,False,1900.0,1.0
129,7,3,Bearing,0,Normal,0.9258118271827698,False,False,1900.0,1.0
130,7,3,Bearing,0,Normal,0.9443782567977905,False,False,1900.0,1.0
131,7,3,Bearing,0,Normal,0.9500028491020203,False,False,1900.0,1.0
132,7,3,Bearing,0,Normal,0.9562366604804993,False,False,1900.0,1.0
133,7,3,Bearing,0,Normal,0.9771715998649597,False,False,1900.0,1.0
134,7,3,Bearing,0,Normal,0.9960033297538757,False,False,1900.0,1.0
135,7,3,Bearing,0,Normal,0.8216708898544312,False,False,1900.0,1.0
136,7,3,Bearing,0,Normal,0.9759247303009033,False,False,1900.0,1.0
137,7,3,Bearing,0,Normal,0.8856928944587708,False,False,1900.0,1.0
138,8,3,Bearing,0,Normal,0.7970383167266846,False,False,1900.0,1.0
139,8,3,Bearing,0,Normal,0.94175124168396,False,False,1900.0,1.0
140,8,3,Bearing,0,Normal,0.9661226272583008,False,False,1900.0,1.0
141,8,3,Bearing,0,Normal,0.9716417789459229,False,False,1900.0,1.0
142,8,3,Bearing,0,Normal,0.9435263872146606,False,False,1900.0,1.0
143,8,3,Bearing,0,Normal,0.7465550303459167,False,False,1900.0,1.0
144,8,3,Bearing,0,Normal,0.9753387570381165,False,False,1900.0,1.0
145,8,3,Bearing,0,Normal,0.8596154451370239,False,False,1900.0,1.0
146,8,3,Bearing,0,Normal,0.9492048025131226,False,False,1900.0,1.0
147,8,3,Bearing,0,Normal,0.9791048169136047,False,False,1900.0,1.0
148,8,3,Bearing,0,Normal,0.8358322381973267,False,False,1900.0,1.0
149,8,3,Bearing,0,Normal,0.9495971202850342,False,False,1900.0,1.0
150,8,3,Bearing,0,Normal,0.7754449844360352,False,False,1900.0,1.0
151,8,3,Bearing,-1,REJECTED,0.5067823529243469,False,True,1900.0,1.0
152,8,3,Bearing,0,Normal,0.8664228320121765,False,False,1900.0,1.0
153,8,3,Bearing,0,Normal,0.7639179825782776,False,False,1900.0,1.0
154,8,3,Bearing,0,Normal,0.7513614296913147,False,False,1900.0,1.0
155,8,3,Bearing,-1,REJECTED,0.508601188659668,False,True,1900.0,1.0
156,8,3,Bearing,0,Normal,0.8441252112388611,False,False,1900.0,1.0
157,8,3,Bearing,0,Normal,0.9001314043998718,False,False,1900.0,1.0
158,9,1,Imbalance,0,Normal,0.9882551431655884,False,False,1900.0,1.0
159,9,1,Imbalance,0,Normal,0.9561901092529297,False,False,1900.0,1.0
160,9,1,Imbalance,0,Normal,0.9979054927825928,False,False,1900.0,1.0
161,9,1,Imbalance,0,Normal,0.9805907607078552,False,False,1900.0,1.0
162,9,1,Imbalance,0,Normal,0.9922582507133484,False,False,1900.0,1.0
163,9,1,Imbalance,0,Normal,0.9907062649726868,False,False,1900.0,1.0
164,9,1,Imbalance,0,Normal,0.9845117330551147,False,False,1900.0,1.0
165,9,1,Imbalance,0,Normal,0.9926496148109436,False,False,1900.0,1.0
166,9,1,Imbalance,0,Normal,0.982799768447876,False,False,1900.0,1.0
167,9,1,Imbalance,0,Normal,0.9098585247993469,False,False,1900.0,1.0
168,9,1,Imbalance,0,Normal,0.868742048740387,False,False,1900.0,1.0
169,9,1,Imbalance,0,Normal,0.9825855493545532,False,False,1900.0,1.0
170,9,1,Imbalance,0,Normal,0.9627460837364197,False,False,1900.0,1.0
171,9,1,Imbalance,0,Normal,0.9278625845909119,False,False,1900.0,1.0
172,9,1,Imbalance,0,Normal,0.9814502000808716,False,False,1900.0,1.0
173,9,1,Imbalance,0,Normal,0.9587740898132324,False,False,1900.0,1.0
174,9,1,Imbalance,0,Normal,0.9412548542022705,False,False,1900.0,1.0
175,9,1,Imbalance,0,Normal,0.9343984723091125,False,False,1900.0,1.0
176,9,1,Imbalance,0,Normal,0.9696437120437622,False,False,1900.0,1.0
177,9,1,Imbalance,0,Normal,0.9935830235481262,False,False,1900.0,1.0
